KEY,Value
About,約
AboutSoftware,ソフトウェアについて
Add,追加
AddMacAdress,MAC アドレスをサブディレクトリとして使用する
AdvencedSettings,高度な設定
AlwaysonTop,常にトップに
AnalogDisplatONStart,起動時にアナログディスプレイを開く
AnalogDisplay,アナログディスプレイ
AskBeforeConnect,接続する前に尋ねる
AutoConnectKnown,起動時に既知のデバイスを自動接続する
AutoRange,オートレンジ
AvailableString,お使いのデバイスの1つが接続可能です。
ChangeName,デバイス名の変更
ChartON,起動時にデータチャートを開く
ClearChart,明確なチャート
ClientID,クライアントID ：
Connect,接続
Connected,接続済み
ConnectToDevice,デバイスに接続する
CreatedBy,によって作成された
CSVFirst,CSV をエクスポートのデフォルトに設定する
DataChart,データチャート
DeviceManager,デバイスの管理
DevicePicker,デバイスピッカー
Disconnected,切断されました
DontAsk,二度と聞かないでください。自動接続。
DontConnect,接続しないでください
EnableMQTT,MQTT クライアントを有効にする
Encrypted,暗号化
ExportData,データのエクスポート
Help,ヘルプ
ImportData,データのインポート
InRush,突入電流
IsAvailable,利用可能です！
Language,言語
ListAvailDevices,利用可能なデバイスのリスト：
LogRaw,生データをログに記録する
ManageDevices,Bluetoothデバイスを管理する
ManageKnown,既知のデバイスを管理する
Max,MAX
Menu,メニュー
Min,MIN
MinimizeToTray,常にトレイを最小化する
MQTTAdress,MQTT サーバーアドレス:
MQTTDataFormat,MQTT データ値の形式
MQTTSettings,MQTT 設定
Name,名前：
NotConnected,接続されていません
Ok,わかった
Password,パスワード:
Peek,ピーク
Port,ポート ：
Reconnect,切断後の自動再接続
Remove,削除する
RemoveAll,すべてのデバイスを削除する
RemoveDevice,デバイスを削除
ResetView,表示方法をリセットする
RunStartup,Windowsスタートアップで実行
SampleOutput,サンプル出力:
Save,保存
SavePosition,ウィンドウの位置とサイズを保存する
SearchingDevices,Bluetoothデバイスを検索しています...
Settings,設定
StartupSettings,スタートアップ設定
TargetTopic,対象トピック：
TrueRMS,真のRMS
UseLogin,ログインを使用
UserName,ユーザー名 :
Values,値
Version,バージョン ：
View,意見
WantToConnect,接続しますか？
ZoomandFitData,データのズームとフィット
